SEOFold = ./Bmap
V0 = 200000.0
acc_phi0 = 30.0
gap_azimuth = 90
gap_width = 1.0
E_rmin = 10.0
E_rmax = 12.5
harmonic = 1
dt_uniform = 1.569048e-07
#Time (s)        Frequency (Hz)  Energy (MeV)
-2.00000000e-07	2.78955814e+06	3.00000000e+02
-4.30951587e-08	2.78955814e+06	3.00000000e+02
1.13809683e-07	2.78962960e+06	3.00031750e+02
2.70714524e-07	2.78972812e+06	3.00075523e+02
4.27619365e-07	2.78982663e+06	3.00119298e+02
5.84524206e-07	2.78992512e+06	3.00163075e+02
7.41429048e-07	2.79002360e+06	3.00206852e+02
8.98333889e-07	2.79012205e+06	3.00250632e+02
1.05523873e-06	2.79022050e+06	3.00294412e+02
1.21214357e-06	2.79031892e+06	3.00338195e+02
1.36904841e-06	2.79041733e+06	3.00381979e+02
1.52595325e-06	2.79051573e+06	3.00425765e+02
1.68285810e-06	2.79061411e+06	3.00469552e+02
1.83976294e-06	2.79071248e+06	3.00513340e+02
1.99666778e-06	2.79081083e+06	3.00557131e+02
2.15357262e-06	2.79090917e+06	3.00600921e+02
2.31047746e-06	2.79100748e+06	3.00644716e+02
2.46738230e-06	2.79110579e+06	3.00688510e+02
2.62428714e-06	2.79120408e+06	3.00732307e+02
2.78119198e-06	2.79130235e+06	3.00776104e+02
2.93809683e-06	2.79140061e+06	3.00819904e+02
3.09500167e-06	2.79149885e+06	3.00863705e+02
3.25190651e-06	2.79159709e+06	3.00907507e+02
3.40881135e-06	2.79169529e+06	3.00951312e+02
3.56571619e-06	2.79179350e+06	3.00995116e+02
3.72262103e-06	2.79189168e+06	3.01038924e+02
3.87952587e-06	2.79198985e+06	3.01082732e+02
4.03643071e-06	2.79208800e+06	3.01126543e+02
4.19333556e-06	2.79218613e+06	3.01170355e+02
4.35024040e-06	2.79228426e+06	3.01214168e+02
4.50714524e-06	2.79238236e+06	3.01257983e+02
4.66405008e-06	2.79248046e+06	3.01301798e+02
4.82095492e-06	2.79257852e+06	3.01345617e+02
4.97785976e-06	2.79267659e+06	3.01389436e+02
5.13476460e-06	2.79277463e+06	3.01433257e+02
5.29166944e-06	2.79287266e+06	3.01477080e+02
5.44857429e-06	2.79297068e+06	3.01520904e+02
5.60547913e-06	2.79306867e+06	3.01564730e+02
5.76238397e-06	2.79316666e+06	3.01608556e+02
5.91928881e-06	2.79326463e+06	3.01652385e+02
6.07619365e-06	2.79336259e+06	3.01696215e+02
6.23309849e-06	2.79346052e+06	3.01740047e+02
6.39000333e-06	2.79355844e+06	3.01783880e+02
6.54690817e-06	2.79365635e+06	3.01827715e+02
6.70381302e-06	2.79375424e+06	3.01871552e+02
6.86071786e-06	2.79385212e+06	3.01915389e+02
7.01762270e-06	2.79394998e+06	3.01959229e+02
7.17452754e-06	2.79404783e+06	3.02003069e+02
7.33143238e-06	2.79414566e+06	3.02046913e+02
7.48833722e-06	2.79424348e+06	3.02090756e+02
7.64524206e-06	2.79434128e+06	3.02134602e+02
7.80214691e-06	2.79443906e+06	3.02178449e+02
7.95905175e-06	2.79453683e+06	3.02222297e+02
8.11595659e-06	2.79463459e+06	3.02266148e+02
8.27286143e-06	2.79473233e+06	3.02309999e+02
8.42976627e-06	2.79483005e+06	3.02353853e+02
8.58667111e-06	2.79492777e+06	3.02397707e+02
8.74357595e-06	2.79502545e+06	3.02441564e+02
8.90048079e-06	2.79512314e+06	3.02485421e+02
9.05738564e-06	2.79522080e+06	3.02529281e+02
9.21429048e-06	2.79531845e+06	3.02573142e+02
9.37119532e-06	2.79541608e+06	3.02617004e+02
